full_date,weekday,time,mood
2021-06-04,Friday,14:19,fine I’m fine 
2021-06-03,Thursday,23:25,in love
2021-06-03,Thursday,12:37,fine I’m fine 
2021-06-02,Wednesday,15:46,fine I’m fine 
2021-06-01,Tuesday,15:46,fine I’m fine 
2021-06-01,Tuesday,15:45,meh
2021-05-31,Monday,21:04,meh
2021-05-30,Sunday,16:33,sick
2021-05-30,Sunday,11:58,anxious
2021-05-29,Saturday,23:47,wannadie
2021-05-29,Saturday,17:33,meh
2021-05-29,Saturday,17:33,fine I’m fine 
2021-05-28,Friday,23:39,fine I’m fine 
2021-05-28,Friday,19:58,fine I’m fine 
2021-05-27,Thursday,15:51,meh
2021-05-27,Thursday,15:51,fine I’m fine 
2021-05-26,Wednesday,15:21,meh
2021-05-25,Tuesday,11:53,meh
2021-05-24,Monday,15:49,meh
2021-05-23,Sunday,21:00,fine I’m fine 
2021-05-22,Saturday,21:44,fine I’m fine 
2021-05-22,Saturday,16:36,fine I’m fine 
2021-05-21,Friday,23:07,in love
2021-05-21,Friday,15:10,agitated
2021-05-20,Thursday,11:17,meh
2021-05-19,Wednesday,23:47,meh
2021-05-19,Wednesday,17:47,fine I’m fine 
2021-05-18,Tuesday,21:37,meh
2021-05-17,Monday,21:53,meh
2021-05-16,Sunday,17:41,in love
2021-05-16,Sunday,12:14,fine I’m fine 
2021-05-15,Saturday,18:34,fine I’m fine 
2021-05-14,Friday,19:33,fine I’m fine 
2021-05-13,Thursday,16:47,meh
2021-05-12,Wednesday,22:53,meh
2021-05-11,Tuesday,22:20,fine I’m fine 
2021-05-11,Tuesday,18:49,fine I’m fine 
2021-05-10,Monday,12:53,fine I’m fine 
2021-05-09,Sunday,14:20,calm happy
2021-05-08,Saturday,12:56,fine I’m fine 
2021-05-07,Friday,21:34,fine I’m fine 
2021-05-06,Thursday,16:00,fine I’m fine 
2021-05-05,Wednesday,14:57,fine I’m fine 
2021-05-04,Tuesday,23:04,fine I’m fine 
2021-05-03,Monday,13:54,fine I’m fine 
2021-05-02,Sunday,13:07,meh
2021-05-02,Sunday,00:04,in love
2021-05-01,Saturday,13:41,fine I’m fine 
2021-04-30,Friday,22:51,in love
2021-04-30,Friday,14:11,fine I’m fine 
2021-04-29,Thursday,18:23,fine I’m fine 
2021-04-29,Thursday,12:53,fine I’m fine 
2021-04-28,Wednesday,13:32,fine I’m fine 
2021-04-27,Tuesday,22:06,bad
2021-04-26,Monday,18:01,fine I’m fine 
2021-04-25,Sunday,14:01,fine I’m fine 
2021-04-24,Saturday,20:37,fine I’m fine 
2021-04-24,Saturday,13:05,fine I’m fine 
2021-04-23,Friday,13:05,irritated
2021-04-22,Thursday,21:25,fine I’m fine 
2021-04-22,Thursday,15:51,meh
2021-04-21,Wednesday,21:00,fine I’m fine 
2021-04-20,Tuesday,12:52,meh
2021-04-19,Monday,12:45,fine I’m fine 
2021-04-18,Sunday,18:15,fine I’m fine 
2021-04-18,Sunday,12:28,meh
